7	18	31	34	36	49
3	9	13	36	48	50
1	19	24	26	28	42
5	6	14	32	43	56
8	22	27	39	52	53
4	20	30	35	51	54
10	11	13	24	34	49
1	2	15	27	40	45
12	18	19	30	33	49
14	15	27	37	40	44
1	2	8	22	25	37
19	29	33	35	36	42
6	14	21	24	35	41
7	13	14	28	31	43
6	10	13	36	39	43
8	18	24	33	39	40
8	29	36	48	53	56
7	24	25	40	44	54
3	4	33	37	40	44
6	44	48	49	51	53
4	16	17	18	29	33
1	8	23	29	45	50
12	32	44	45	47	56
4	6	8	30	34	38
8	18	19	37	43	48
1	15	17	23	30	38
8	17	19	22	36	39
3	15	27	50	54	56
5	6	9	27	32	40
10	15	26	44	53	55
4	29	40	47	51	52
30	31	38	42	45	54
8	11	15	24	35	55
12	16	19	21	35	39
2	35	46	47	51	53
2	14	19	29	30	38
5	12	27	29	44	53
7	8	31	44	47	54
8	10	14	17	27	41
18	19	38	48	53	56
1	10	26	30	39	42
22	26	31	39	44	52
1	19	32	39	40	41
3	9	18	32	47	54
14	18	32	48	50	54
15	17	19	23	25	42
9	38	44	52	54	55
4	10	15	32	35	45
2	7	12	28	52	54
7	17	19	34	46	53
1	8	24	26	35	50
7	8	24	26	27	28
21	27	29	35	38	46
2	5	19	31	47	54
1	11	12	29	36	51
1	18	30	44	45	54
7	14	38	41	46	54
15	28	50	51	55	56
2	4	22	24	39	55
2	20	21	35	39	48
2	8	12	24	29	41
16	27	31	33	39	43
6	13	15	19	55	56
1	5	9	19	39	44
8	12	22	26	34	55
4	6	21	29	51	52
7	10	28	32	40	51
4	25	26	47	53	56
2	11	15	32	37	44
2	19	30	38	42	48
2	15	19	36	42	43
12	14	36	38	45	48
1	3	18	19	50	56
1	8	11	19	22	27
1	17	18	27	49	53
1	6	15	24	30	55
10	20	25	46	52	56
1	38	40	42	50	56
18	19	24	28	33	47
7	10	13	27	50	54
10	11	18	29	37	40
12	20	30	41	49	53
8	14	17	25	27	38
9	15	17	27	29	36
6	14	26	41	43	52
3	5	46	49	50	55
4	10	24	27	41	55
5	10	16	35	37	50
5	9	18	29	32	56
1	18	33	34	40	45
6	16	19	38	48	51
3	7	46	47	54	55
11	15	33	46	48	52
15	17	24	30	39	52
3	4	19	32	36	56
7	10	14	19	35	39
21	22	35	38	40	53
12	24	34	41	47	49
15	16	21	26	43	50
3	4	22	40	46	55
3	5	22	23	37	53
3	10	16	20	50	53
2	35	37	42	44	49
18	19	26	31	45	51
5	13	30	42	49	50
7	11	19	29	39	47
14	31	32	36	48	50
4	23	24	25	36	53
5	23	29	42	46	52
2	8	12	20	45	54
6	35	44	48	52	54
12	14	19	35	45	49
10	12	17	20	48	53
2	7	11	15	43	49
9	25	30	33	36	50
29	30	37	41	45	56
14	35	39	43	44	46
7	10	20	21	25	31
6	36	37	40	45	49
1	8	12	14	18	38
1	16	18	36	44	51
2	6	20	42	43	50
3	18	33	38	48	49
1	21	23	29	48	50
11	22	24	26	47	48
1	14	26	40	45	55
4	12	18	23	38	41
7	16	21	31	45	46
4	18	20	24	33	55
15	24	39	42	45	56
3	7	13	18	20	23
23	25	33	41	44	56
5	8	21	24	30	47
5	12	21	30	36	52
21	25	27	32	33	41
9	12	18	34	40	54
8	14	15	36	45	49
4	16	24	25	28	54
1	8	19	26	32	56
23	25	28	33	35	53
27	31	33	39	48	54
17	24	27	33	35	55
4	15	27	28	32	34
3	38	40	46	49	52
4	12	13	20	45	54
10	14	18	26	27	55
1	8	9	16	22	44
13	20	39	43	54	56
1	3	11	28	41	49
5	17	19	46	48	50
2	3	26	49	50	52
13	15	30	37	40	45
15	20	23	44	51	52
1	13	17	24	34	53
5	8	13	15	24	47
4	21	28	39	49	52
19	29	36	42	44	52
18	27	30	41	43	51
1	3	12	30	31	38
13	18	32	33	34	54
9	27	35	43	50	52
7	14	38	40	43	56
6	9	13	21	29	45
6	20	24	35	52	53
8	11	25	35	36	51
8	15	24	29	30	49
5	17	22	27	37	52
15	32	41	45	48	52
11	29	45	47	53	54
